timestamp,open,high,low,close,volume
2026-08-20 11:00:00,29386.7,29452.9,29376.6,29432.6,2296
2026-08-20 11:15:00,29432.5,29452.6,29422.9,29438.2,863
2026-08-20 11:30:00,29439.5,29447.6,29416.9,29445.3,936
2026-08-20 11:45:00,29445.0,29456.4,29422.6,29437.3,671
2026-08-20 12:00:00,29437.4,29472.6,29421.8,29468.4,1228
2026-08-20 12:15:00,29468.2,29469.9,29436.3,29448.4,1477
2026-08-20 12:30:00,29448.3,29459.1,29426.1,29434.6,1366
2026-08-20 12:45:00,29434.9,29476.7,29434.0,29474.8,967
2026-08-20 13:00:00,29475.2,29493.3,29374.8,29397.7,3803
2026-08-20 13:15:00,29398.2,29409.2,29332.0,29335.4,3522
2026-08-20 13:30:00,29335.1,29364.6,29327.3,29335.0,2969
2026-08-20 13:45:00,29334.0,29335.8,29258.8,29271.3,5810
2026-08-20 14:00:00,29272.4,29285.8,29175.4,29182.2,9398
2026-08-20 14:15:00,29182.1,29216.0,29174.1,29187.8,5158
2026-08-20 14:30:00,29190.5,29203.4,29151.4,29200.8,6554
2026-08-20 14:45:00,29201.4,29259.5,29194.2,29256.2,5224
2026-08-20 15:00:00,29256.1,29284.6,29243.1,29247.5,5426
2026-08-20 15:15:00,29247.6,29279.0,29233.8,29262.1,6001
2026-08-20 15:30:00,29260.7,29380.1,29249.5,29353.6,44788
2026-08-20 15:45:00,29354.4,29368.7,29220.6,29264.0,38522
2026-08-20 16:00:00,29264.7,29318.3,29227.8,29279.0,28144
2026-08-20 16:15:00,29279.9,29324.0,29219.7,29263.2,26642
2026-08-20 16:30:00,29264.4,29342.4,29242.2,29334.9,18757
2026-08-20 16:45:00,29334.8,29346.7,29262.9,29305.2,15355
2026-08-20 17:00:00,29304.7,29365.6,29239.9,29279.8,23489
2026-08-20 17:15:00,29279.1,29282.8,29215.1,29257.5,15096
2026-08-20 17:30:00,29257.8,29265.8,29192.3,29194.0,13820
2026-08-20 17:45:00,29193.9,29246.4,29185.3,29244.0,11567
2026-08-20 18:00:00,29244.6,29260.1,29217.2,29222.3,9951
2026-08-20 18:15:00,29222.4,29271.7,29220.1,29256.5,7815
2026-08-20 18:30:00,29255.4,29293.1,29224.8,29292.3,9051
2026-08-20 18:45:00,29291.8,29304.1,29270.8,29293.5,8803
2026-08-20 19:00:00,29292.0,29295.3,29248.1,29250.7,6633
2026-08-20 19:15:00,29250.4,29251.9,29207.0,29208.3,9870
2026-08-20 19:30:00,29210.5,29220.5,29198.2,29205.2,7084
2026-08-20 19:45:00,29205.3,29240.5,29202.9,29206.7,8329
2026-08-20 20:00:00,29208.1,29209.4,29130.0,29144.9,15030
2026-08-20 20:15:00,29145.1,29162.3,29117.0,29145.3,10817
2026-08-20 20:30:00,29145.0,29151.0,29125.2,29146.5,8621
2026-08-20 20:45:00,29147.0,29170.3,29139.2,29154.6,8188
2026-08-20 21:00:00,29155.9,29206.2,29155.5,29193.4,10231
2026-08-20 21:15:00,29192.9,29219.4,29179.8,29216.2,8574
2026-08-20 21:30:00,29216.4,29247.6,29204.5,29222.0,11722
2026-08-20 21:45:00,29222.9,29241.5,29198.4,29216.8,26029
2026-08-20 22:00:00,29213.5,29230.7,29188.0,29192.6,7580
2026-08-20 22:15:00,29191.1,29201.2,29172.3,29196.7,2188
2026-08-20 22:30:00,29197.7,29219.9,29196.5,29213.7,1435
2026-08-20 22:45:00,29213.4,29230.1,29206.2,29227.1,1338
2026-08-20 23:00:00,29226.1,29226.1,29219.0,29222.9,2
2026-08-20 23:15:00,29223.1,29226.3,29222.7,29226.3,0
2026-08-20 23:30:00,29226.1,29235.8,29225.3,29227.2,0
