timestamp,btc_price,cash,btc_holdings,equity
2026-08-18T12:00:26.527668+00:00,64278.8,10000.0,0.0,10000.0
2026-08-18T12:03:26.176729+00:00,64267.8,10000.0,0.0,10000.0
2026-08-18T13:11:16.718584+00:00,64110.1,10000.0,0.0,10000.0
2026-08-18T13:59:22.153903+00:00,64156.9,10000.0,0.0,10000.0
2026-08-18T14:46:20.556611+00:00,64733.8,10000.0,0.0,10000.0
2026-08-18T15:38:56.562713+00:00,64794.4,10000.0,0.0,10000.0
2026-08-18T16:04:27.613735+00:00,64812.1,10000.0,0.0,10000.0
2026-08-18T16:51:20.641901+00:00,64764.4,10000.0,0.0,10000.0
2026-08-18T17:34:52.334459+00:00,64764.1,10000.0,0.0,10000.0
2026-08-18T18:04:54.603704+00:00,64624.9,10000.0,0.0,10000.0
2026-08-18T18:09:24.418149+00:00,64645.0,10000.0,0.0,10000.0
2026-08-18T18:57:28.026275+00:00,64722.4,10000.0,0.0,10000.0
2026-08-18T19:13:09.199638+00:00,64679.3,10000.0,0.0,10000.0
2026-08-18T19:27:43.982959+00:00,64716.5,10000.0,0.0,10000.0
2026-08-18T20:23:56.682045+00:00,64589.4,10000.0,0.0,10000.0
2026-08-18T20:50:33.366256+00:00,64549.5,10000.0,0.0,10000.0
2026-08-18T21:24:32.307899+00:00,64572.1,10000.0,0.0,10000.0
