timestamp,open,high,low,close,volume
2026-08-17,30086.8,30242.8,29958.7,29983.0,398555
2026-08-18,29983.7,30028.6,29423.2,29469.3,555890
2026-08-19,29479.8,29666.3,29287.3,29473.7,563382
2026-08-20,29473.3,29599.7,29117.0,29231.2,549940
2026-08-21,29239.8,29454.9,29143.3,29293.5,483717
2026-08-24,29321.1,29400.8,28869.4,29056.3,518458
2026-08-25,29059.9,29338.1,28940.3,29227.7,480911
2026-08-26,29223.9,29480.0,29029.1,29436.4,452100
2026-08-27,29434.9,29643.3,29335.8,29582.2,560503
2026-08-28,29582.7,29755.2,29382.9,29456.6,572229
2026-08-31,29458.3,29485.7,29220.3,29468.0,456033
2026-09-01,29464.6,29518.6,28953.5,29083.5,545206
2026-09-02,29084.1,29165.0,28878.4,29132.7,436442
2026-09-03,29125.8,29539.6,29030.3,29462.5,530270
2026-09-04,29457.1,29654.3,29435.1,29627.8,61246
