timestamp,open,high,low,close,volume
2026-09-11 05:30:00,29050.2,29068.1,29028.1,29064.2,2218.0
2026-09-11 05:45:00,29064.1,29066.8,29029.0,29038.3,1610.0
2026-09-11 06:00:00,29037.9,29072.7,29019.1,29071.5,3417.0
2026-09-11 06:15:00,29072.0,29098.0,29053.8,29094.6,1536.0
2026-09-11 08:45:00,29207.6,29241.5,29207.4,29234.6,1685.0
2026-09-11 09:00:00,29233.3,29248.0,29229.3,29236.4,1668.0
2026-09-11 09:15:00,29237.2,29243.1,29215.3,29215.3,1326.0
2026-09-11 09:30:00,29215.4,29226.2,29208.4,29214.5,1158.0
2026-09-11 09:45:00,29214.1,29225.6,29207.0,29221.1,1051.0
2026-09-11 10:00:00,29223.0,29251.9,29205.2,29225.0,2658.0
2026-09-11 10:15:00,29224.6,29295.1,29218.8,29249.1,3568.0
2026-09-11 10:30:00,29249.4,29292.5,29249.4,29270.3,1658.0
2026-09-11 10:45:00,29270.5,29302.4,29266.4,29302.4,1708.0
2026-09-11 11:00:00,29304.2,29314.4,29293.5,29296.6,1067.0
2026-09-11 13:00:00,29289.3,29295.2,29269.7,29275.0,1506.0
2026-09-11 13:15:00,29276.6,29304.9,29271.4,29291.8,1443.0
2026-09-11 13:30:00,29291.5,29312.6,29276.2,29311.0,1821.0
2026-09-11 13:45:00,29311.5,29318.1,29298.4,29303.0,1232.0
2026-09-11 14:00:00,29302.9,29316.7,29283.9,29303.8,2500.0
2026-09-11 14:15:00,29304.5,29374.9,29298.7,29367.0,4693.0
2026-09-11 14:30:00,29368.3,29373.0,29189.0,29335.9,18295.0
2026-09-11 14:45:00,29337.5,29456.4,29323.5,29450.6,10693.0
2026-09-11 15:00:00,29447.9,29480.1,29414.0,29424.2,10463.0
2026-09-11 15:15:00,29423.4,29432.5,29395.7,29406.1,7440.0
2026-09-11 16:45:00,29348.5,29376.4,29311.4,29346.7,24259.0
2026-09-11 17:00:00,29345.4,29408.7,29338.7,29370.6,15799.0
2026-09-11 17:15:00,29371.3,29470.3,29371.2,29463.4,15916.0
2026-09-11 17:30:00,29462.0,29475.5,29438.9,29455.2,11915.0
2026-09-11 17:45:00,29455.6,29456.3,29419.7,29427.2,10476.0
2026-09-11 18:00:00,29428.6,29463.3,29423.4,29426.2,8772.0
2026-09-11 18:15:00,29426.3,29428.8,29377.0,29380.4,11874.0
2026-09-11 18:30:00,29380.8,29420.2,29370.6,29408.6,12807.0
2026-09-11 18:45:00,29408.9,29415.5,29391.4,29414.2,5808.0
2026-09-11 19:00:00,29416.0,29442.9,29415.8,29429.5,6253.0
2026-09-11 19:30:00,29443.1,29457.9,29436.9,29441.2,6673.0
2026-09-11 19:45:00,29441.6,29447.5,29429.8,29432.9,4793.0
2026-09-11 20:00:00,29433.7,29441.2,29418.5,29422.0,5115.0
2026-09-11 20:15:00,29422.1,29427.8,29399.5,29423.0,11453.0
2026-09-11 20:30:00,29422.3,29439.5,29413.8,29418.1,5654.0
2026-09-11 20:45:00,29418.4,29424.8,29406.4,29409.9,6548.0
2026-09-11 21:00:00,29409.7,29413.5,29386.0,29396.3,7392.0
2026-09-11 21:15:00,29396.1,29407.0,29392.1,29394.8,6962.0
2026-09-11 21:30:00,29394.6,29406.7,29391.4,29402.8,6456.0
2026-09-11 21:45:00,29402.6,29407.5,29358.1,29364.4,26710.0
2026-09-11 22:00:00,29363.5,29371.6,29355.0,29359.4,7532.0
2026-09-11 22:15:00,29360.6,29366.1,29353.5,29361.5,1088.0
2026-09-11 22:30:00,29361.7,29375.3,29361.5,29366.4,1489.0
2026-09-11 22:45:00,29365.4,29374.1,29360.1,29368.5,1163.0
2026-09-11 23:00:00,29368.6,29368.6,29368.6,29368.6,0.0
2026-09-14 00:00:00,29059.0,29089.8,28960.2,29004.2,5970.0
2026-09-14 00:15:00,29004.1,29064.7,28992.7,29064.2,3502.0
2026-09-14 00:30:00,29062.8,29084.3,29053.6,29054.6,2623.0
2026-09-14 00:45:00,29054.5,29067.2,29045.3,29049.4,1230.0
2026-09-14 01:00:00,29049.3,29056.0,29035.6,29043.0,915.0
2026-09-14 01:15:00,29043.1,29078.2,29039.6,29075.8,963.0
2026-09-14 01:30:00,29075.7,29080.0,29011.9,29020.2,1744.0
2026-09-14 01:45:00,29020.1,29020.1,28991.0,28997.5,1627.0
2026-09-14 02:00:00,28997.3,29054.2,28995.7,29037.2,2650.0
